Weather_Condition,N
Fair,10198
Mostly Cloudy,5673
Cloudy,4296
Partly Cloudy,3192
Clear,2288
Light Rain,1922
Overcast,1713
Scattered Clouds,685
Fog,575
Rain,447
Light Snow,356
Fair / Windy,287
Mostly Cloudy / Windy,214
Heavy Rain,196
Cloudy / Windy,169
Light Drizzle,150
Partly Cloudy / Windy,146
Light Rain / Windy,118
Wintry Mix,64
Thunder in the Vicinity,63
T-Storm,51
Light Rain with Thunder,50
Rain / Windy,50
Heavy T-Storm,41
Snow,37
Haze,36
Thunder,30
Fog / Windy,27
Light Snow / Windy,18
Drizzle and Fog,16
Light Freezing Rain,15
Mist,9
"",8
Heavy Snow,8
Heavy Rain / Windy,7
Heavy T-Storm / Windy,6
Light Freezing Fog,5
Light Thunderstorms and Rain,5
Freezing Rain,4
Light Ice Pellets,4
N/A Precipitation,4
Patches of Fog / Windy,4
Snow and Sleet / Windy,4
T-Storm / Windy,4
Thunder / Windy,4
Heavy Snow / Windy,3
Heavy Thunderstorms and Rain,3
Light Freezing Drizzle,3
Light Sleet,3
Snow / Windy,3
Haze / Windy,2
Light Drizzle / Windy,2
Shallow Fog,2
Snow and Sleet,2
Drizzle,1
Heavy Drizzle,1
Ice Pellets,1
Light Snow and Sleet,1
Thunderstorm,1
Thunderstorms and Rain,1
