cluster,dominant_share,k,feature
1,0.9044,3,Crossing
1,0.9916,3,Stop
1,0.9087,3,Traffic_Signal
2,0.9877,3,Stop
2,0.9619,3,Sunrise_Sunset
3,0.9066,3,Crossing
3,0.9903,3,Stop
3,0.9101,3,Sunrise_Sunset
3,0.9127,3,Traffic_Signal
3,0.9941,3,weather_group
1,0.9052,4,Crossing
1,0.9896,4,Stop
1,0.9557,4,Sunrise_Sunset
1,0.9108,4,Traffic_Signal
1,0.9014,4,weather_group
1,0.9339,4,weekend
2,0.9238,4,Crossing
2,0.9919,4,Stop
2,0.9292,4,Traffic_Signal
3,0.9872,4,Stop
3,0.9767,4,weekend
4,0.9926,4,Stop
4,0.9091,4,Traffic_Signal
1,0.9867,5,Stop
1,1,5,rush_hour
1,0.9928,5,weather_group
1,0.9082,5,weekend
2,0.9213,5,Crossing
2,0.9924,5,Stop
2,0.9296,5,Traffic_Signal
2,0.9417,5,rush_hour
3,0.9073,5,Crossing
3,0.9895,5,Stop
3,0.9084,5,Traffic_Signal
3,0.9252,5,weekend
4,0.905,5,Crossing
4,0.9904,5,Stop
4,0.9048,5,Sunrise_Sunset
4,0.9102,5,Traffic_Signal
4,0.9854,5,weather_group
4,0.9264,5,weekend
5,0.9907,5,Stop
5,1,5,rush_hour
5,0.9057,5,weekend
1,0.9888,6,Stop
1,0.9159,6,weather_group
1,1,6,weekend
2,0.9885,6,Stop
2,0.9603,6,Sunrise_Sunset
2,0.9077,6,hour_band
2,1,6,rush_hour
3,0.9056,6,Crossing
3,0.9906,6,Stop
3,0.9066,6,Sunrise_Sunset
3,0.9087,6,Traffic_Signal
3,1,6,rush_hour
3,0.9108,6,weather_group
3,0.9746,6,weekend
4,0.9481,6,Crossing
4,0.9954,6,Stop
4,0.949,6,Traffic_Signal
4,1,6,weekend
5,0.9848,6,Stop
5,0.9938,6,weekend
6,0.9029,6,Crossing
6,0.9921,6,Stop
6,0.995,6,Sunrise_Sunset
6,0.9127,6,Traffic_Signal
6,0.9329,6,rush_hour
1,0.9325,7,Crossing
1,0.9957,7,Stop
1,0.9414,7,Traffic_Signal
1,0.9139,7,weekend
2,0.9129,7,Junction
2,0.9849,7,Stop
2,0.9421,7,Sunrise_Sunset
2,1,7,rush_hour
2,0.9172,7,weekend
3,0.987,7,Junction
3,0.9865,7,Stop
3,0.9714,7,weekend
4,0.9876,7,Stop
4,0.9996,7,Sunrise_Sunset
4,0.9252,7,hour_band
4,1,7,rush_hour
4,0.9893,7,weekend
5,0.9047,7,Crossing
5,0.9911,7,Stop
5,1,7,Sunrise_Sunset
5,0.9112,7,Traffic_Signal
6,0.9958,7,Junction
6,0.9909,7,Stop
6,1,7,weekend
7,0.9903,7,Crossing
7,1,7,Junction
7,0.9996,7,Stop
7,0.9918,7,Traffic_Signal
7,0.9207,7,weekend
1,0.9899,8,Stop
1,0.9996,8,Sunrise_Sunset
1,0.9275,8,hour_band
1,1,8,rush_hour
2,0.9028,8,Crossing
2,0.9919,8,Stop
2,1,8,Sunrise_Sunset
2,0.914,8,Traffic_Signal
2,0.9502,8,rush_hour
3,1,8,Junction
3,0.9919,8,Stop
3,1,8,rush_hour
3,0.9331,8,weather_group
4,0.9899,8,Crossing
4,1,8,Junction
4,0.9996,8,Stop
4,0.9907,8,Traffic_Signal
5,0.9259,8,Crossing
5,0.9925,8,Stop
5,0.929,8,Traffic_Signal
5,0.933,8,hour_band
5,1,8,rush_hour
5,0.9235,8,weather_group
6,0.9794,8,Junction
6,0.9884,8,Stop
6,0.9734,8,rush_hour
7,0.9239,8,Junction
7,0.982,8,Stop
7,0.9026,8,Sunrise_Sunset
7,0.9478,8,hour_band
7,1,8,rush_hour
7,0.9444,8,weekend
8,0.9039,8,Junction
8,0.9874,8,Stop
8,0.9097,8,Traffic_Signal
8,1,8,rush_hour
8,0.9281,8,weather_group
