B,R,J,k,repeat_id
1,0.782505472651641,0.164953016375773,7,1
2,0.80218274168466,0.222554435730819,7,1
3,0.791945919861137,0.189801476226691,7,1
4,0.783078347308353,0.172769114515353,7,1
5,0.786173228105828,0.171131796671883,7,1
6,0.784552667870948,0.182605358102403,7,1
7,0.783482638285083,0.182502852327838,7,1
8,0.786746361073851,0.178350973348118,7,1
9,0.78129644706912,0.166818451174251,7,1
10,0.787429294727266,0.173642676573523,7,1
1,0.578139206310791,0.240868308845815,3,1
2,0.571345136997276,0.222879045575956,3,1
3,0.577068760889877,0.230765256180982,3,1
4,0.591996429875451,0.257869320865212,3,1
5,0.574777840583111,0.236078846159171,3,1
6,0.578897548933732,0.238970423845549,3,1
7,0.573027865194983,0.233610821317813,3,1
8,0.573928202479339,0.237519007854202,3,1
9,0.588242645938119,0.251114717879701,3,1
10,0.576454724885441,0.234945306515883,3,1
1,0.746909613320844,0.159534796512536,7,2
2,0.747046319125842,0.163603470461582,7,2
3,0.731768898618598,0.141309999820695,7,2
4,0.727451460732031,0.134491433928674,7,2
5,0.741300375765883,0.163645897863655,7,2
6,0.742347195267739,0.149892759651631,7,2
7,0.742093814579634,0.164215514897254,7,2
8,0.743523473802275,0.151717979496066,7,2
9,0.735939667101694,0.152790510320304,7,2
10,0.74784478405463,0.15913149136246,7,2
1,0.56949702323337,0.231874296922323,3,2
2,0.570597417340713,0.241500219688403,3,2
3,0.568662458712257,0.236523655473463,3,2
4,0.562132040525541,0.228334397298143,3,2
5,0.570514507506834,0.238673911394706,3,2
6,0.567159622874915,0.233737939620293,3,2
7,0.568485541344711,0.241917621135263,3,2
8,0.566020528216155,0.232782511403735,3,2
9,0.566055130301969,0.237434300589433,3,2
10,0.575129637880251,0.244141708120902,3,2
1,0.771481904246978,0.171658480572806,7,3
2,0.778078637063658,0.169027122095714,7,3
3,0.790345613742003,0.20210929435876,7,3
4,0.778192190155981,0.183976874431262,7,3
5,0.787728508255913,0.210145583875272,7,3
6,0.786830664187439,0.195899678375081,7,3
7,0.773240981116284,0.153153126232624,7,3
8,0.782205489534227,0.194592311685569,7,3
9,0.774260153699637,0.159919184918643,7,3
10,0.79458836915987,0.208970064237679,7,3
1,0.594659535159081,0.254903167507753,3,3
2,0.593592373017145,0.254193779826927,3,3
3,0.591710722381704,0.259932838510609,3,3
4,0.585241181169316,0.244747082853129,3,3
5,0.590160832242142,0.250529682717126,3,3
6,0.594224429458206,0.254157280068049,3,3
7,0.586332073505832,0.248149638952195,3,3
8,0.59574134848463,0.260705630058313,3,3
9,0.592216717116396,0.25657397319372,3,3
10,0.593934294862178,0.254731236957617,3,3
