cluster,feature,importance
C1,hour_band,0.122748783641136
C1,weekday,0.000400149407797835
C1,weekend,0.000162764134724847
C1,season,0.00177869097063837
C1,rush_hour,0.189507709213516
C1,Sunrise_Sunset,0.0732029037104327
C1,weather_group,0.00761926756818402
C1,Crossing,3.64257714522102e-05
C1,Junction,2.78011718479199e-05
C1,Traffic_Signal,4.1418600931471e-05
C1,Stop,-2.2371942304474e-06
C1,Temperature.F.,0.00547743531035283
C1,Humidity...,0.0125782531679129
C1,Pressure.in.,0.000801751619771512
C1,Visibility.mi.,0.0218115269025512
C1,Wind_Speed.mph.,0.000901063803993
C1,log_Duration,0.000303478100827101
C2,hour_band,0.126566751402576
C2,weekday,0.000870329042118336
C2,weekend,0.000322706364267297
C2,season,0.00163972723268172
C2,rush_hour,0.295301114726323
C2,Sunrise_Sunset,0.00185700972572475
C2,weather_group,0.027329044927789
C2,Crossing,3.32734269533578e-05
C2,Junction,2.98091765565667e-05
C2,Traffic_Signal,5.74805462245246e-05
C2,Stop,2.68434649976538e-06
C2,Temperature.F.,0.00493696718625633
C2,Humidity...,0.00790595526812704
C2,Pressure.in.,0.00125161920443411
C2,Visibility.mi.,0.0614162992351747
C2,Wind_Speed.mph.,0.00108831245501321
C2,log_Duration,0.000445840756928182
C3,hour_band,0.00754671098160969
C3,weekday,0.000926995886868694
C3,weekend,0.000222575973262233
C3,season,0.002655919612101
C3,rush_hour,0.00525123002061163
C3,Sunrise_Sunset,0.00600916477411815
C3,weather_group,0.043240561266707
C3,Crossing,3.91899955547703e-05
C3,Junction,1.93014510421929e-05
C3,Traffic_Signal,6.81127478126561e-05
C3,Stop,-2.19774782456716e-06
C3,Temperature.F.,0.00822752062179097
C3,Humidity...,0.0143165077822965
C3,Pressure.in.,0.00181238258934911
C3,Visibility.mi.,0.0930139585802474
C3,Wind_Speed.mph.,0.00161647124835197
C3,log_Duration,0.000614932753001282
C4,hour_band,0.0973886838275383
C4,weekday,0.000346749664591732
C4,weekend,0.000294392749410208
C4,season,0.00189793382841666
C4,rush_hour,0.12535500613657
C4,Sunrise_Sunset,0.0922985238774768
C4,weather_group,0.00974961386749727
C4,Crossing,2.42245834725026e-05
C4,Junction,1.55371307884011e-05
C4,Traffic_Signal,4.45174589487122e-05
C4,Stop,5.61303963833137e-06
C4,Temperature.F.,0.00396269096057264
C4,Humidity...,0.00605067294999109
C4,Pressure.in.,0.00084031759490143
C4,Visibility.mi.,0.010221504582241
C4,Wind_Speed.mph.,0.00118147903535922
C4,log_Duration,0.000246197531633446
