spatial_cluster,corridor_label,final_name
0,Noise / Unassigned,Noise / Unassigned
1,Long Island Expressway (I-495),Long Island Expressway (I-495) Cluster 1
7,Northern State Parkway,Northern State Parkway Cluster 7
2,Northern State Parkway,Northern State Parkway Cluster 2
3,Southern State Parkway,Southern State Parkway Cluster 3
4,Surface Road Cluster,Surface Road Cluster 4
5,Surface Road Cluster,Surface Road Cluster 5
10,Surface Road Cluster,Surface Road Cluster 10
6,Surface Road Cluster,Surface Road Cluster 6
8,Meadowbrook / Wantagh Pkwy,Meadowbrook / Wantagh Pkwy Cluster 8
9,Northern State Parkway,Northern State Parkway Cluster 9
11,Sunrise Highway,Sunrise Highway Cluster 11
12,Meadowbrook / Wantagh Pkwy,Meadowbrook / Wantagh Pkwy Cluster 12
