spatial_cluster,centroid_x_km,centroid_y_km,centroid_lat,centroid_lng,n_accidents
1,6.1176,-4.868,40.75597,-73.1274,1097
2,-22.1567,-1.6256,40.7853,-73.46293,14792
3,-27.6725,-11.0638,40.69994,-73.52838,11080
4,-0.8362,2.9054,40.82628,-73.20992,150
5,-12.1551,2.8124,40.82543,-73.34424,187
6,-28.5098,-8.301,40.72493,-73.53832,239
7,19.266,-1.6065,40.78547,-72.97137,132
8,-22.9811,-7.9196,40.72838,-73.47271,100
9,-20.3708,0.2808,40.80254,-73.44174,130
10,-4.8372,-7.4186,40.73291,-73.2574,90
11,-26.6225,-14.4221,40.66957,-73.51592,140
12,-44.3074,-8.7347,40.72101,-73.72579,159
