scenario_cluster,spatial_cluster,N,spatial_cluster_pct,corridor_label,final_name
1,1,217,19.78,Long Island Expressway (I-495),Clear AM Rush --- Junction Heavy
1,2,4558,30.81,Northern State Parkway,Clear AM Rush --- Junction Heavy
1,3,3715,33.53,Southern State Parkway,Clear AM Rush --- Junction Heavy
1,4,29,19.33,Surface Road Cluster,Clear AM Rush --- Junction Heavy
1,5,89,47.59,Surface Road Cluster,Clear AM Rush --- Junction Heavy
1,6,104,43.51,Surface Road Cluster,Clear AM Rush --- Junction Heavy
1,7,24,18.18,Northern State Parkway,Clear AM Rush --- Junction Heavy
1,8,31,31,Meadowbrook / Wantagh Pkwy,Clear AM Rush --- Junction Heavy
1,9,48,36.92,Northern State Parkway,Clear AM Rush --- Junction Heavy
1,10,8,8.89,Surface Road Cluster,Clear AM Rush --- Junction Heavy
1,11,55,39.29,Sunrise Highway,Clear AM Rush --- Junction Heavy
1,12,21,13.21,Meadowbrook / Wantagh Pkwy,Clear AM Rush --- Junction Heavy
2,1,624,56.88,Long Island Expressway (I-495),Cloudy AM Rush --- Junction Heavy
2,2,6083,41.12,Northern State Parkway,Cloudy AM Rush --- Junction Heavy
2,3,4079,36.81,Southern State Parkway,Cloudy AM Rush --- Junction Heavy
2,4,66,44,Surface Road Cluster,Cloudy AM Rush --- Junction Heavy
2,5,60,32.09,Surface Road Cluster,Cloudy AM Rush --- Junction Heavy
2,6,77,32.22,Surface Road Cluster,Cloudy AM Rush --- Junction Heavy
2,7,76,57.58,Northern State Parkway,Cloudy AM Rush --- Junction Heavy
2,8,39,39,Meadowbrook / Wantagh Pkwy,Cloudy AM Rush --- Junction Heavy
2,9,43,33.08,Northern State Parkway,Cloudy AM Rush --- Junction Heavy
2,10,46,51.11,Surface Road Cluster,Cloudy AM Rush --- Junction Heavy
2,11,41,29.29,Sunrise Highway,Cloudy AM Rush --- Junction Heavy
2,12,64,40.25,Meadowbrook / Wantagh Pkwy,Cloudy AM Rush --- Junction Heavy
3,1,256,23.34,Long Island Expressway (I-495),Night / Early AM --- Cloudy (High Risk)
3,2,4151,28.06,Northern State Parkway,Night / Early AM --- Cloudy (High Risk)
3,3,3286,29.66,Southern State Parkway,Night / Early AM --- Cloudy (High Risk)
3,4,55,36.67,Surface Road Cluster,Night / Early AM --- Cloudy (High Risk)
3,5,38,20.32,Surface Road Cluster,Night / Early AM --- Cloudy (High Risk)
3,6,58,24.27,Surface Road Cluster,Night / Early AM --- Cloudy (High Risk)
3,7,32,24.24,Northern State Parkway,Night / Early AM --- Cloudy (High Risk)
3,8,30,30,Meadowbrook / Wantagh Pkwy,Night / Early AM --- Cloudy (High Risk)
3,9,39,30,Northern State Parkway,Night / Early AM --- Cloudy (High Risk)
3,10,36,40,Surface Road Cluster,Night / Early AM --- Cloudy (High Risk)
3,11,44,31.43,Sunrise Highway,Night / Early AM --- Cloudy (High Risk)
3,12,74,46.54,Meadowbrook / Wantagh Pkwy,Night / Early AM --- Cloudy (High Risk)
